Category,SubCategory,ManufacturerPartNo,Manufacturer,ItemName,Description,Stock,Price,Packaging,Series,DatasheetUrl,ImageUrls,AdditionalFields
Connectors,Memory Connectors,6.93E+11,Wurth Elektronik,Nano SIM Card Connectors,"CONN SMART CARD PUSH-PULL
6 Position Card Connector NANO SIM Surface Mount Right Angle Gold",15,506.8905,,WR-CRD,https://www.we-online.com/components/products/datasheet/693043020611.pdf,https://media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_693043020611.jpg,"[{MountingType,Surface Mount}]"
Connectors,Headers and Wire Housings,B2B-PH-K-S(LF)(SN,JST Sales America Inc.,Male Headers,"CONN HEADER VERT 2POS 2MM Connector Header Through Hole 2 position 0.079""",9,47.6085,,PH,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,https://media.digikey.com/photos/JST%20Photos/B2B-PH-K-S.jpg,"[{MountingType,Through Hole}]"
Connectors,Memory Connectors,5050200692,Molex,Micro SIM Connectors,MICRO-SIM CARD CONNECTOR PIN 6 Position Card Connector Micro SIM Surface Mount,6,0,,505020,https://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-3481.pdf,https://media.digikey.com/photos/Molex/MFG_5050200692.jpg,"[{MountingType,Surface Mount}]"
Connectors,USB Connectors,476420001,Molex,USB Micro B Connectors,CONN RCPT MICRO USB B 5POS SMDUSB - micro B Receptacle Connector 5 Position,7,266.0475,,47642,https://www.molex.com/pdm_docs/sd/476420001_sd.pdf,https://media.digikey.com/Photos/Molex/0476420001.jpg,"[{MountingType,Board Edge}]"
Connectors,Headers and Wire Housings,PHR-13,JST Sales America Inc.,Wire Housings,"CONN HOUSING PH 13POS 2MM 13 Rectangular Connectors - Housings Receptacle Natural 0.079"" (2.00mm)",9,78.414,,PH,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,https://media.digikey.com/photos/JST%20Photos/PHR-13.jpg,"[{MountingType,Free Hanging}]"
Connectors,Headers and Wire Housings,S4B-PH-KL(LF)(SN),JST Sales America Inc.,Male Headers,"CONN HEADER R/A 4POS 2MMConnector Header Through Hole Right Angle 4 position 0.079"" (2.00mm)",5,39.207,,PH,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,https://assets.lcsc.com/images/lcsc/900x900/20180926_JST-Sales-America-S4B-PH-KL-LF-SN_C160235_front.jpg,"[{MountingType,Through Hole}]"
Connectors,Headers and Wire Housings,3221-16-0300-00,CNC Tech,Male Headers,"CONN HEADER SMD 16POS 1.27MMConnector Header Surface Mount 16 position 0.050"" (1.27mm)",4,369.666,,-,http://www.cnctech.us/pdfs/3221-XX-0300-00_.pdf,https://media.digikey.com/photos/CnC%20Tech/3221-16-0300-00.JPG,"[{MountingType,Surface Mount}]"
Connectors,Headers and Wire Housings,20021111-00010T4LF,Amphenol Communications Solutions,Male Headers,CONN HEADER VERT 10POS 1.27MMConnector Header Through Hole 10 position,25,221.2395,,Minitek127® 1.27mm,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/20021111.pdf,https://media.digikey.com/Photos/FCI%20Photos/20021111-00010T4LF.JPG,
Connectors,Headers and Wire Housings,Z-211-0611-0021-001,Nextron(Nextronics Engineering),Male Headers,2.54mm 6 Straight 1 Header?Breakaway P=2.54mm Pin Headers ROHS,13,8.4015,,,https://datasheet.lcsc.com/lcsc/1811151537_Nextron-Nextronics-Engineering-Z-211-0611-0021-001_C190819.pdf,https://assets.lcsc.com/images/lcsc/900x900/20180914_Nextron-Nextronics-Engineering-Z-211-0611-0021-001_C190819_front.jpg,"[{MountingType,Straight}]"
Connectors,Battery Connectors,1060TR,Keystone,Battery Base,SMD Battery Connectors ROHS,2,560.1,,,https://www.keyelco.com/product-pdf.cfm?p=3936,https://www.keyelco.com/assets/product_images/1060.jpg,
